#TYPE Deserialized.System.Object
"ComputerName","GroupName","Type","Name","PSComputerName","RunspaceId","PSShowComputerName"
"UKVMSAPP031","Administrators","User","svc-SCCM2012RC","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","VictorSoares","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","ukx-svc-DEPLOY","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","TFS_Deploy","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","Group","UK-SG_TTG_ADMIN","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","uk-svc-qualys","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","ukrcsranganath","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","ukrctgovardhan","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","ukrcsms1","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","UKServerAcc","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","Group","UK-SG Bangalore NMC","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","Vkolli","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","Surajshah","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","jmcinally","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","briandonnelly2","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","Agray3","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Event Log Readers","Group","UK-SG TaxWorkflow_Support","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Guests","User","K1_Gst","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","IIS_IUSRS","System","DefaultAppPool","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","IIS_IUSRS","System","ExternalServices.Sap","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","IIS_IUSRS","System","ExternalServices.Atlas","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Power Users","Group","UK-SG Hardware Team","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Remote Desktop Users","User","svc-AlphataxWFS","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Remote Desktop Users","User","ukrcsranganath","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Remote Desktop Users","User","ukrctgovardhan","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Users","System","INTERACTIVE","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Users","System","Authenticated Users","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Users","Group","Domain Users","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Users","User","TFS_Deploy","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","ConfigMgr Remote Control Users","Group","UK-SG SCCM2012 Remote Viewer","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","TFS_BuildService_G04843","User","TFS_Deploy","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","WindowsFabricAdministrators","User","svc-TaxWFBus","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","WindowsFabricAllowedUsers","User","svc-TaxWFBus","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP032","Administrators","User","K1_Admin","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","Administrators","Group","Domain Admins","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","Administrators","Group","UK-SG Member Server Admins","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","Administrators","User","oper-Rmills1","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","Administrators","User","oper-pmulcare","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","Administrators","User","oper-sushah","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
